date,Time.of.Issue,Form,Method,Issue,Zip
07/27/2016,11:30 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),44041
07/27/2016,10:30 am,Phone,Wired,Telemarketing (including do not call and spoofing),66212
07/27/2016,9:10 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),85203
07/27/2016,11:15 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),75070
07/21/2016,12:04 PM,Phone,Wired,Robocalls,92881
07/27/2016,10:20 am,Phone,Wired,Telemarketing (including do not call and spoofing),19010
07/20/2016,NA,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),33602
07/27/2016,11:00 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),75025
07/27/2016,9:32 a.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),89139
07/27/2016,9:46 am,Phone,Wired,Telemarketing (including do not call and spoofing),98033
07/27/2016,12:07 PM,Phone,Internet (VOIP),Telemarketing (including do not call and spoofing),33467
07/27/2016,11:30 am,Phone,Wireless (cell phone/other mobile device),Robocalls,74135
07/27/2016,12:51 PM,Phone,Wireless (cell phone/other mobile device),Robocalls,45218
07/27/2016,9:43 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),95125
07/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Robocalls,20676
07/27/2016,11:30 am,Phone,Wired,Telemarketing (including do not call and spoofing),38024
07/27/2016,11:55 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),73071
07/27/2016,1:00 pm,Phone,Wired,Telemarketing (including do not call and spoofing),21703
07/27/2016,9:56 am,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),97223
07/27/2016,NA,Phone,Wireless (cell phone/other mobile device),Robocalls,10025
07/27/2016,1:02 p.m.,Phone,Wireless (cell phone/other mobile device),Telemarketing (including do not call and spoofing),37917
